value,time
5.2,1
4.0,2
9.2,3
11.5,4
12.1,5
13.1,6
12.5,7
10.7,8
9.6,9
6.9,10
6.2,11
5.5,0
7.3,1
6.2,2
9.3,3
11.4,4
13.0,5
13.5,6
12.8,7
12.5,8
11.8,9
9.8,10
8.1,11
7.7,0
8.1,1
9.9,2
10.8,3
11.5,4
12.0,5
12.1,6
11.2,7
11.4,8
10.6,9
9.1,10
8.4,11
6.5,0
6.8,1
7.4,2
9.8,3
11.5,4
12.2,5
13.2,6
13.1,7
12.8,8
10.5,9
9.9,10
7.4,11
5.8,0
8.1,1
8.1,2
10.3,3
12.8,4
13.1,5
14.0,6
13.4,7
13.4,8
12.2,9
10.9,10
8.4,11
8.1,0
8.6,1
5.9,2
9.0,3
11.0,4
12.8,5
11.6,6
12.8,7
11.2,8
10.0,9
8.4,10
5.4,11
5.9,0
5.5,1
7.1,2
7.6,3
10.8,4
13.3,5
13.3,6
13.2,7
12.0,8
9.9,9
10.1,10
7.9,11
7.7,0
7.9,1
10.7,2
10.7,3
11.1,4
12.7,5
13.7,6
13.6,7
11.8,8
10.3,9
10.8,10
8.6,11
6.5,0
7.2,1
8.6,2
10.0,3
11.1,4
12.1,5
12.0,6
12.5,7
10.5,8
9.8,9
7.2,10
6.8,11
5.0,0
6.2,1
8.0,2
9.8,3
11.4,4
11.6,5
12.4,6
12.8,7
12.1,8
10.6,9
8.7,10
5.9,11
7.7,0
5.6,1
7.3,2
8.1,3
11.2,4
12.9,5
13.0,6
12.4,7
11.7,8
10.2,9
8.4,10
6.9,11
5.6,0
7.6,1
5.8,2
9.7,3
10.5,4
11.6,5
12.1,6
11.9,7
11.2,8
9.6,9
8.3,10
6.7,11
4.4,0
5.0,1
6.8,2
8.2,3
11.1,4
11.1,5
11.8,6
11.8,7
10.6,8
10.6,9
7.1,10
5.7,11
5.5,0
5.6,1
7.8,2
8.6,3
11.8,4
14.0,5
13.5,6
13.4,7
12.1,8
12.0,9
9.9,10
7.6,11
7.6,0
9.0,1
8.1,2
11.7,3
12.4,4
12.4,5
12.0,6
13.3,7
11.2,8
11.0,9
8.8,10
8.6,11
6.0,0
7.0,1
6.9,2
9.6,3
12.4,4
13.3,5
13.9,6
13.0,7
13.3,8
11.9,9
10.1,10
8.1,11
8.5,0
8.5,1
7.5,2
10.3,3
11.1,4
13.4,5
14.4,6
14.7,7
13.4,8
13.4,9
10.7,10
8.6,11
8.6,0
7.7,1
10.6,2
11.3,3
11.7,4
11.7,5
12.0,6
12.6,7
10.5,8
9.9,9
8.5,10
5.4,11
5.2,0
5.9,1
7.6,2
9.8,3
9.9,4
10.4,5
11.2,6
12.3,7
10.8,8
9.0,9
7.7,10
4.2,11
6.1,0
7.3,1
5.8,2
8.5,3
10.5,4
11.1,5
11.0,6
10.9,7
10.4,8
9.7,9
7.4,10
5.1,11
5.5,0
5.4,1
8.9,2
9.0,3
10.7,4
12.4,5
14.0,6
13.5,7
14.1,8
11.2,9
9.2,10
8.0,11
7.2,0
8.8,1
8.5,2
9.4,3
10.9,4
12.9,5
13.2,6
13.7,7
12.3,8
11.2,9
9.8,10
8.1,11
5.1,0
6.9,1
8.9,2
8.9,3
10.8,4
10.2,5
11.2,6
12.0,7
11.0,8
10.2,9
8.4,10
5.5,11
4.9,0
6.5,1
6.7,2
10.0,3
10.0,4
10.6,5
12.1,6
13.1,7
12.0,8
10.4,9
8.9,10
6.2,11
5.5,0
5.1,1
6.8,2
9.4,3
10.6,4
11.6,5
12.6,6
12.9,7
11.5,8
10.6,9
8.7,10
6.2,11
5.1,0
6.5,1
6.4,2
8.1,3
10.2,4
11.6,5
13.9,6
14.6,7
12.4,8
11.4,9
9.5,10
7.0,11
7.4,0
6.8,1
7.3,2
9.4,3
10.5,4
12.3,5
13.2,6
12.8,7
12.0,8
9.5,9
8.0,10
5.8,11
5.4,0
3.9,1
5.2,2
7.9,3
10.5,4
12.1,5
13.9,6
12.8,7
12.8,8
11.6,9
10.3,10
8.3,11
6.5,0
8.5,1
9.4,2
10.2,3
11.1,4
12.8,5
12.9,6
12.9,7
11.4,8
9.8,9
9.5,10
6.5,11
5.1,0
6.9,1
6.8,2
8.6,3
10.7,4
11.8,5
12.4,6
13.3,7
12.4,8
11.2,9
9.5,10
7.1,11
8.3,0
5.8,1
6.5,2
9.0,3
11.9,4
12.8,5
12.7,6
13.2,7
11.7,8
9.3,9
9.6,10
6.3,11
3.1,0
4.3,1
7.4,2
9.5,3
11.9,4
13.4,5
13.7,6
13.2,7
12.5,8
10.8,9
8.0,10
6.3,11
4.8,0
6.6,1
8.2,2
10.0,3
12.0,4
12.9,5
13.5,6
13.6,7
13.2,8
11.7,9
10.8,10
7.9,11
6.3,0
8.3,1
8.6,2
9.4,3
11.4,4
12.7,5
13.2,6
12.5,7
11.2,8
11.4,9
8.9,10
6.8,11
5.3,0
7.4,1
7.9,2
10.2,3
11.0,4
12.5,5
13.5,6
13.5,7
11.7,8
10.2,9
9.0,10
6.4,11
6.8,0
5.5,1
6.7,2
9.5,3
11.2,4
12.5,5
13.0,6
13.3,7
11.7,8
9.8,9
8.1,10
6.4,11
5.9,0
7.3,1
7.0,2
8.8,3
11.4,4
11.7,5
12.5,6
13.6,7
12.2,8
10.9,9
8.6,10
7.4,11
5.4,0
7.4,1
6.0,2
9.4,3
12.0,4
12.8,5
12.7,6
13.5,7
10.8,8
9.7,9
9.2,10
8.1,11
6.7,0
6.9,1
7.6,2
9.1,3
10.1,4
12.6,5
12.5,6
12.1,7
11.6,8
10.7,9
9.4,10
6.8,11
5.2,0
7.8,1
6.0,2
9.2,3
12.0,4
12.2,5
13.4,6
12.6,7
12.5,8
10.9,9
8.3,10
6.5,11
5.2,0
5.6,1
8.0,2
9.0,3
9.8,4
11.4,5
11.8,6
11.7,7
11.7,8
10.7,9
7.8,10
6.8,11
4.8,0
5.9,1
6.5,2
9.1,3
11.2,4
12.4,5
12.8,6
11.6,7
13.3,8
11.6,9
9.2,10
9.2,11
5.7,0
6.5,1
8.7,2
10.7,3
12.2,4
14.0,5
14.3,6
14.1,7
14.1,8
13.8,9
9.6,10
9.9,11
7.8,0
9.7,1
8.7,2
10.6,3
11.2,4
13.7,5
15.4,6
14.5,7
12.7,8
11.9,9
9.2,10
8.8,11
8.5,0
6.3,1
8.6,2
10.3,3
9.8,4
11.8,5
13.2,6
12.1,7
11.1,8
9.5,9
8.3,10
6.7,11
6.3,0
4.9,1
7.4,2
8.8,3
10.8,4
13.1,5
12.6,6
12.0,7
11.1,8
9.7,9
8.4,10
7.7,11
7.2,0
6.7,1
7.6,2
10.2,3
11.6,4
13.1,5
14.0,6
13.5,7
12.4,8
11.3,9
9.0,10
6.3,11
6.5,0
6.4,1
5.8,2
10.3,3
11.3,4
11.8,5
13.4,6
12.2,7
11.9,8
11.1,9
9.3,10
7.2,11
6.3,0
5.5,1
8.6,2
10.4,3
11.6,4
13.2,5
13.8,6
13.4,7
12.7,8
11.8,9
9.2,10
7.3,11
7.5,0
6.3,1
7.0,2
9.6,3
12.4,4
12.6,5
13.2,6
11.6,7
11.5,8
10.6,9
8.2,10
6.7,11
7.3,0
6.5,1
7.6,2
9.0,3
10.8,4
12.7,5
12.3,6
12.2,7
12.2,8
10.4,9
7.6,10
7.7,11
7.3,0
5.6,1
6.2,2
10.1,3
11.1,4
13.5,5
13.0,6
13.4,7
11.8,8
9.8,9
9.0,10
5.2,11
4.7,0
4.3,1
6.5,2
7.7,3
9.9,4
10.7,5
12.1,6
12.0,7
11.7,8
9.5,9
6.5,10
4.4,11
5.3,0
5.1,1
7.0,2
9.4,3
11.9,4
11.2,5
13.3,6
13.2,7
12.5,8
11.4,9
9.5,10
8.9,11
6.7,0
7.1,1
8.3,2
10.3,3
10.3,4
12.5,5
13.0,6
12.6,7
12.1,8
9.9,9
7.7,10
8.4,11
6.9,0
7.3,1
8.0,2
8.9,3
13.1,4
12.5,5
13.9,6
13.0,7
13.2,8
10.8,9
9.4,10
8.1,11
4.9,0
7.3,1
7.7,2
7.7,3
10.1,4
12.3,5
12.4,6
11.8,7
11.9,8
10.7,9
9.1,10
6.5,11
8.3,0
3.7,1
6.7,2
8.9,3
9.4,4
10.9,5
11.7,6
11.4,7
10.9,8
9.3,9
7.6,10
7.6,11
4.8,0
4.7,1
6.9,2
8.3,3
9.1,4
11.3,5
11.2,6
11.5,7
11.4,8
9.7,9
8.7,10
5.6,11
6.5,0
6.4,1
7.8,2
9.5,3
12.3,4
12.5,5
12.9,6
13.3,7
13.1,8
11.5,9
9.8,10
7.7,11
8.5,0
7.1,1
8.1,2
8.9,3
10.9,4
11.6,5
12.4,6
11.6,7
11.5,8
9.6,9
9.1,10
8.3,11
6.1,0
8.7,1
6.9,2
8.9,3
10.4,4
12.8,5
13.5,6
13.1,7
11.9,8
10.5,9
7.7,10
6.1,11
6.5,0
6.7,1
7.1,2
8.5,3
10.0,4
12.5,5
12.5,6
12.5,7
10.5,8
10.7,9
8.7,10
7.2,11
7.2,0
6.4,1
9.6,2
9.2,3
11.1,4
12.8,5
13.1,6
13.2,7
12.1,8
10.4,9
9.2,10
6.7,11
5.1,0
7.4,1
8.4,2
9.8,3
10.1,4
11.5,5
12.3,6
13.3,7
11.1,8
9.7,9
8.1,10
7.3,11
5.9,0
8.0,1
6.7,2
8.5,3
10.3,4
13.3,5
13.5,6
12.4,7
12.7,8
12.4,9
10.3,10
9.0,11
7.3,0
7.1,1
7.0,2
9.1,3
10.5,4
11.8,5
12.0,6
12.1,7
10.4,8
9.5,9
7.8,10
7.6,11
6.3,0
5.7,1
6.9,2
11.2,3
11.2,4
14.0,5
15.5,6
13.7,7
13.3,8
12.4,9
10.4,10
6.6,11
7.5,0
6.7,1
8.6,2
9.9,3
12.3,4
13.3,5
12.9,6
12.6,7
12.1,8
11.3,9
8.9,10
7.6,11
5.0,0
5.6,1
7.2,2
10.7,3
11.0,4
12.5,5
12.8,6
12.8,7
12.7,8
10.8,9
8.9,10
7.8,11
4.1,0
5.1,1
8.2,2
9.7,3
9.5,4
12.2,5
12.7,6
12.7,7
12.2,8
11.0,9
9.8,10
7.3,11
5.8,0
6.3,1
8.3,2
10.9,3
11.0,4
12.7,5
13.5,6
13.4,7
11.8,8
11.5,9
9.1,10
6.9,11
8.2,0
7.2,1
7.2,2
10.0,3
10.6,4
11.8,5
13.8,6
12.0,7
10.1,8
8.7,9
7.5,10
5.2,11
5.8,0
4.5,1
6.0,2
8.0,3
10.4,4
13.0,5
12.5,6
11.7,7
10.8,8
9.5,9
8.3,10
5.8,11
5.8,0
5.1,1
6.7,2
10.6,3
13.7,4
12.8,5
13.8,6
13.8,7
13.7,8
12.6,9
9.8,10
9.6,11
7.3,0
8.3,1
7.0,2
9.0,3
10.8,4
11.0,5
12.4,6
11.5,7
11.4,8
10.0,9
5.7,10
6.6,11
4.0,0
4.4,1
5.5,2
8.8,3
11.0,4
12.4,5
12.6,6
12.1,7
11.0,8
9.6,9
7.7,10
6.1,11
6.4,0
6.9,1
6.6,2
7.8,3
10.4,4
11.4,5
11.7,6
11.3,7
10.4,8
8.9,9
8.0,10
5.5,11
5.1,0
5.4,1
5.6,2
9.9,3
12.0,4
12.6,5
14.0,6
14.1,7
12.9,8
9.9,9
7.8,10
6.5,11
5.9,0
5.6,1
8.1,2
9.3,3
11.3,4
13.5,5
13.6,6
13.6,7
12.9,8
12.3,9
10.0,10
8.1,11
8.2,0
8.9,1
9.5,2
10.1,3
9.3,4
11.1,5
11.3,6
11.9,7
11.6,8
10.7,9
9.1,10
7.4,11
6.0,0
6.9,1
7.9,2
9.7,3
11.2,4
12.6,5
11.1,6
13.3,7
11.7,8
11.0,9
9.1,10
8.5,11
5.9,0
6.3,1
7.2,2
9.7,3
11.3,4
12.5,5
13.2,6
13.4,7
12.7,8
10.7,9
9.1,10
7.3,11
5.1,0
6.2,1
9.9,2
9.9,3
10.5,4
11.5,5
11.8,6
12.4,7
11.5,8
11.1,9
8.4,10
7.5,11
6.3,0
7.0,1
7.5,2
10.1,3
11.9,4
13.9,5
14.5,6
14.7,7
14.0,8
12.5,9
11.1,10
9.3,11
9.8,0
10.3,1
10.1,2
10.1,3
11.7,4
13.3,5
14.4,6
14.1,7
12.1,8
10.5,9
9.7,10
8.5,11
7.1,0
5.3,1
8.1,2
10.1,3
11.1,4
13.2,5
13.2,6
12.2,7
11.8,8
11.3,9
9.3,10
5.1,11
7.5,0
5.4,1
6.1,2
7.5,3
9.4,4
12.6,5
13.6,6
12.4,7
11.5,8
10.7,9
8.4,10
7.6,11
4.7,0
6.9,1
8.4,2
9.3,3
11.6,4
11.0,5
12.8,6
12.0,7
12.2,8
10.9,9
9.3,10
9.7,11
7.1,0
7.4,1
10.7,2
11.5,3
12.6,4
13.1,5
14.7,6
14.3,7
13.5,8
11.2,9
8.9,10
7.8,11
7.8,0
6.7,1
6.8,2
10.1,3
10.8,4
13.9,5
12.8,6
12.5,7
10.6,8
9.1,9
7.4,10
6.5,11
5.4,0
6.8,1
7.3,2
7.6,3
10.1,4
12.8,5
12.1,6
13.3,7
11.7,8
9.9,9
8.7,10
8.9,11
6.9,0
10.0,1
8.3,2
9.7,3
10.3,4
12.4,5
12.8,6
13.5,7
13.3,8
10.9,9
9.1,10
7.7,11
6.3,0
6.5,1
9.5,2
9.9,3
12.6,4
13.3,5
13.4,6
14.0,7
13.3,8
11.1,9
10.1,10
8.5,11
10.1,0
7.7,1
10.5,2
11.0,3
11.1,4
12.5,5
14.9,6
12.8,7
11.2,8
11.2,9
9.5,10
7.3,11
6.8,0
6.4,1
10.1,2
11.4,3
12.4,4
13.9,5
13.5,6
15.1,7
13.4,8
12.0,9
9.0,10
7.0,11
6.7,0
6.5,1
9.4,2
10.8,3
12.0,4
12.9,5
14.1,6
14.9,7
13.5,8
11.9,9
9.8,10
9.3,11
7.0,0
7.8,1
7.2,2
9.6,3
11.6,4
13.0,5
12.7,6
13.2,7
12.0,8
10.2,9
8.8,10
7.5,11
5.7,0
6.2,1
7.4,2
9.0,3
12.2,4
12.4,5
12.5,6
12.4,7
10.3,8
9.7,9
8.4,10
5.6,11
7.3,0
4.8,1
8.6,2
11.9,3
11.9,4
14.7,5
14.3,6
15.1,7
14.7,8
13.4,9
11.4,10
8.6,11
7.8,0
10.2,1
10.0,2
11.1,3
11.5,4
12.1,5
12.6,6
12.7,7
